Дата	time	Численность населения, занятая в экономике, чел.	ВРП, тыс.руб.	Средняя заработная плата, руб.	Производительность в экономике, тыс. руб/чел.	Уровень инфляции
Январь 2011	1	972900	45800000,00	24895	47,08	2,4
Февраль 2011	2	961500	46900000,00	24987	48,78	0,8
Март 2011	3	954400	47200000,00	22006	49,46	0,6
Апрель 2011	4	947700	42903000,00	22787	45,27	0,4
Май 2011	5	975900	42800000,00	24994	43,86	0,5
Июнь 2011	6	974200	46000000,00	23665	47,22	0,2
Июль 2011	7	955600	47900000,00	23977	50,13	0
Август 2011	8	980500	45020000,00	23901	45,92	-0,2
Сентябрь 2011	9	987000	47800000,00	24872	48,43	0
Октябрь 2011	10	988300	46900000,00	24934	47,46	0,5
Ноябрь 2011	11	992000	45600000,00	25076	45,97	0,4
Декабрь 2011	12	993900	44900000,00	26987	45,18	0,4
Январь 2012	13	974500	44800000,00	27035	45,97	0,5
Февраль 2012	14	970200	39800000,00	27354	41,02	0,4
Март 2012	15	972000	39500000,00	27473	40,64	0,6
Апрель 2012	16	981900	46400000,00	27001	47,26	0,3
Май 2012	17	983800	47600000,00	28215	48,38	0,5
Июнь 2012	18	987400	46700000,00	27003	47,30	0,9
Июль 2012	19	988200	43500000,00	27103	44,02	1,2
Август 2012	20	1005000	49100000,00	27664	48,86	0,1
Сентябрь 2012	21	998800	47400000,00	27268	47,46	0,6
Октябрь 2012	22	1003200	46400000,00	27483	46,25	0,5
Ноябрь 2012	23	986400	50000000,00	27569	50,69	0,3
Декабрь 2012	24	993700	53818000,00	28167	54,16	0,5
Январь 2013	25	992500	52100000,00	27734,6	52,49	1
Февраль 2013	26	995900	50100000,00	26502,8	50,31	0,6
Март 2013	27	990900	55200000,00	27613,3	55,71	0,3
Апрель 2013	28	989900	54400000,00	28517,1	54,96	0,4
Май 2013	29	986000	55600000,00	29543,4	56,39	0,7
Июнь 2013	30	999400	56100000,00	30620	56,13	0,4
Июль 2013	31	993100	54300000,00	29834,5	54,68	0,8
Август 2013	32	1003300	50100000,00	27905	49,94	0,1
Сентябрь 2013	33	1001900	53400000,00	28057,8	53,30	0,4
Октябрь 2013	34	990200	55500000,00	30303,9	56,05	0,6
Ноябрь 2013	35	990200	56100000,00	31189,2	56,66	0,6
Декабрь 2013	36	979900	56300000,00	40030,2	57,45	0,5
